trial,agent,agent_type,full_sequence_world_coords,middle_sequence_world_coords
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]","[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (4, 9), (4, 8)]"
snack6,A,naive,"[(8, 13), (7, 13), (6, 13), (6, 12), (6, 11), (5, 11), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(8, 13), (7, 13), (6, 13), (6, 12), (6, 11), (5, 11), (5, 10), (5, 9), (5, 8)]"
snack8,B,naive,"[(11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]","[(11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (10, 11), (9, 11), (8, 11), (7, 11)]"
snack10,B,naive,"[(4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11)]","[(4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11)]"
snack9,B,naive,"[(11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10)]","[(11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (9, 10), (8, 10), (7, 10)]"
snack5,B,naive,"[(9, 3), (9, 4), (9, 5), (10, 5), (11, 5), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10)]","[(9, 3), (9, 4), (9, 5), (10, 5), (11, 5), (12, 5), (12, 6), (12, 7)]"
snack7,B,naive,"[(2, 13), (2, 12), (2, 11), (2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11)]","[(2, 13), (2, 12), (2, 11), (2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (6, 11), (7, 11)]"
snack2,B,naive,"[(5, 3), (5, 4), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10)]","[(5, 3), (5, 4), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (11, 6), (11, 7)]"
snack3,B,naive,"[(11, 13), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5)]","[(11, 13), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8)]"
snack1,B,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (10, 9), (10, 8), (10, 7), (10, 6), (10, 5)]","[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (10, 9), (10, 8)]"
